Nr.;Vorname;Nachname;Geburtsdatum;Postleitzahl;Stadt;Telefon;EMail;Registrierung;Geschlecht
1;Tilla;Eder;26.09.2003;17111;Sarow;03994/36857451;teder@xyz.none;14.12.2020;w
2;Roland;Jantzen;08.02.1915;13158;Rosenthal;030/65227097;roland_15@validmail.none;10.06.2020;m
3;Elke;Pollmann;14.09.1909;25764;Hillgroven;04823/78972618;elke.1909@mymail.none;03.12.2019;w
4;Willibald;Reissmann;02.08.1921;97258;Oberickelsheim;;willibald-reissmann@retromail.none;11.08.2019;m
5;Otthold;Duwe;04.12.2004;84168;Aham;08744/34632934;otthold_2004@domain.none;24.08.2019;m
6;Markward;Freyberg;12.05.2000;54578;Berndorf;;markward-freyberg@bestmail.none;04.03.2020;m
7;Wilhelma;Meinhard;09.08.1972;24211;Preetz;04342/94371767;;02.03.2019;w
8;Erlfried;Hornemann;27.10.1934;25764;Hillgroven;04823/35959501;erlfried.1934@justmail.none;09.11.2020;m
9;Burghard;Malik;11.07.1909;24626;Groß Kummerfeld;04328/26810159;b-1909@bestmail.none;17.10.2019;m
10;Alex;Gensler;30.04.2010;24626;Groß Kummerfeld;;alex-gensler@validmail.none;25.08.2019;m
11;Engelbrecht;Nikolic;11.10.1972;24211;Pohnsdorf;04342/87862447;engelbrecht_nikolic@net-mail.none;01.01.2021;m
12;Patrik;Yates;17.01.1946;86637;Wertingen;08272/32600182;p-yates@open-mail.none;10.01.2020;m
13;Isabella;Teipel;28.02.1942;38462;Grafhorst;05364/92894681;i_teipel@net-mail.none;16.08.2020;w
14;Christsolde;Stöver;20.03.1949;38462;Grafhorst;05364/19067108;;11.01.2020;w
15;Edelhard;Mendoza;04.10.2017;13158;Rosenthal;030/61952071;edelhard-mendoza@xyz.none;06.12.2020;m
16;Philipine;Heyden;16.04.1988;67744;Löllbach;06753/68435260;philipine.heyden@net-mail.none;13.11.2019;w
17;Winnimar;Niklas;26.08.1980;17111;Sarow;03994/84490984;winnimarniklas@email.none;07.04.2021;m
18;Lisa;Deininger;25.07.1947;53506;Rech;02643/28741120;lisadeininger@private.none;26.06.2020;w
19;Wolfdieter;Rogall;16.12.1994;24211;Pohnsdorf;04342/84200299;w_rogall@email.none;03.01.2019;m
20;Sigismund;Hammerl;27.11.1983;24626;Groß Kummerfeld;04328/71087072;;28.01.2019;m
